upTo,triples,batchMs,cumMs,perObsUs
10000,446355,1221.083,1221.083,122.108
20000,891918,1339.956,2561.039,133.996
30000,1337516,1477.619,4038.658,147.762
40000,1783261,1118.597,5157.254,111.86
50000,2228978,1310.28,6467.535,131.028
60000,2674597,1819.457,8286.992,181.946
70000,3120118,1031.206,9318.198,103.121
80000,3565814,1230.866,10549.064,123.087
90000,4011559,1401.312,11950.376,140.131
100000,4457234,1594.96,13545.336,159.496
110000,4902818,1094.677,14640.013,109.468
120000,5348367,2130.267,16770.28,213.027
130000,5794112,1107.215,17877.495,110.721
140000,6239843,911.865,18789.359,91.186
150000,6685476,1117.836,19907.196,111.784
160000,7131018,1268.364,21175.56,126.836
170000,7576665,1303.011,22478.57,130.301
180000,8022410,1408.922,23887.492,140.892
190000,8468113,1398.878,25286.37,139.888
200000,8913718,1504.992,26791.362,150.499
