upTo,triples,batchMs,cumMs,perObsUs
10000,260083,714.637,714.637,71.464
20000,520083,762.124,1476.762,76.212
30000,780083,893.404,2370.166,89.34
40000,1040083,756.802,3126.967,75.68
50000,1300083,846.588,3973.555,84.659
60000,1560083,963.42,4936.975,96.342
70000,1820083,795.177,5732.152,79.518
80000,2080083,1009.292,6741.444,100.929
90000,2340083,746.35,7487.794,74.635
100000,2600083,941.165,8428.959,94.116
110000,2860083,1411.459,9840.418,141.146
120000,3120083,582.625,10423.043,58.263
130000,3380083,722.189,11145.232,72.219
140000,3640083,578.666,11723.898,57.867
150000,3900083,691.673,12415.571,69.167
160000,4160083,1227.725,13643.296,122.772
170000,4420083,827.005,14470.301,82.701
180000,4680083,728.999,15199.3,72.9
190000,4940083,719.795,15919.095,71.98
200000,5200083,1040.185,16959.279,104.018
