elapsed_ms,inserted,deleted,residentObs,tripleCount,insertMsCum,insertMsAvgPerObs,throughput_per_s,heapUsedMB,tdbDiskBytes,useTDB
4,0,0,0,0,0.0,0.0,0.0,148,0,false
1069,26000,0,26000,327114,1063.7,0.0409,24321.8,176,0,false
2120,52000,0,52000,639114,2114.5,0.0407,24528.3,442,0,false
3533,80000,0,80000,975114,3527.6,0.0441,22643.6,450,0,false
4551,112000,0,112000,1359114,4545.3,0.0406,24610.0,609,0,false
5571,142000,0,142000,1719114,5565.0,0.0392,25489.1,772,0,false
6901,160000,0,160000,1935114,6895.0,0.0431,23185.0,843,0,false
7956,196000,0,196000,2367114,7949.8,0.0406,24635.5,1275,0,false
8986,224000,0,224000,2703114,8979.3,0.0401,24927.7,1092,0,false
10010,252000,0,252000,3039114,10003.0,0.0397,25174.8,1435,0,false
11031,280000,0,280000,3375114,11023.8,0.0394,25383.0,1376,0,false
12079,306000,0,306000,3687114,12071.9,0.0395,25333.2,1460,0,false
13995,318000,0,318000,3831114,13987.7,0.044,22722.4,1732,0,false
15017,348000,0,348000,4191114,15009.7,0.0431,23173.7,1721,0,false
16042,378000,0,378000,4551114,16033.7,0.0424,23563.1,1838,0,false
17169,410000,0,410000,4935114,17161.2,0.0419,23880.2,1735,0,false
18185,434000,0,434000,5223114,18176.6,0.0419,23865.8,2087,0,false
19215,456000,0,456000,5487114,19206.8,0.0421,23731.5,2036,0,false
20362,474000,0,474000,5703114,20353.8,0.0429,23278.7,2269,0,false
21373,500000,0,500000,6015114,21364.8,0.0427,23394.0,2580,0,false
22377,524000,0,524000,6303114,22368.4,0.0427,23416.9,2313,0,false
23427,550000,0,550000,6615114,23418.3,0.0426,23477.2,2625,0,false
24479,574000,0,574000,6903114,24470.4,0.0426,23448.7,2519,0,false
25483,598000,0,598000,7191114,25474.8,0.0426,23466.6,2807,0,false
26500,618000,0,618000,7431114,26491.1,0.0429,23320.8,2542,0,false
27881,634000,0,634000,7623114,27871.7,0.044,22739.5,2830,0,false
30879,636000,0,636000,7647114,30870.0,0.0485,20596.5,3078,0,false
31935,662000,0,662000,7959114,31925.3,0.0482,20729.6,3049,0,false
32967,690000,0,690000,8295114,32957.6,0.0478,20930.0,3385,0,false
34031,718000,0,718000,8631114,34022.4,0.0474,21098.4,3721,0,false
35135,744000,0,744000,8943114,35125.6,0.0472,21175.5,3490,0,false
36159,770000,0,770000,9255114,36149.1,0.0469,21294.8,3802,0,false
37176,794000,0,794000,9543114,37165.8,0.0468,21357.9,3647,0,false
38254,820000,0,820000,9855114,38243.4,0.0466,21435.7,3609,0,false
39255,844000,0,844000,10143114,39244.7,0.0465,21500.4,3897,0,false
40302,858000,0,858000,10311114,40291.0,0.047,21289.3,3865,0,false
41349,882000,0,882000,10599114,41339.1,0.0469,21330.6,3970,0,false
42416,906000,0,906000,10887114,42405.3,0.0468,21359.9,4258,0,false
43579,922000,0,922000,11079114,43569.2,0.0473,21157.0,4470,0,false
44616,938000,0,938000,11271114,44605.5,0.0476,21023.8,4159,0,false
45692,956000,0,956000,11487114,45681.3,0.0478,20922.7,4391,0,false
46751,980000,0,980000,11775114,46740.1,0.0477,20962.1,4270,0,false
47783,1006000,0,1006000,12087114,47771.8,0.0475,21053.5,4582,0,false
48794,1030000,0,1030000,12375114,48783.2,0.0474,21109.2,4534,0,false
49840,1056000,0,1056000,12687114,49828.9,0.0472,21187.8,4578,0,false
50888,1082000,0,1082000,12999114,50876.9,0.047,21262.4,4652,0,false
51957,1108000,0,1108000,13311114,51945.5,0.0469,21325.3,4965,0,false
52996,1134000,0,1134000,13623114,52984.8,0.0467,21397.8,5276,0,false
54037,1158000,0,1158000,13911114,54024.9,0.0467,21429.8,4962,0,false
55110,1184000,0,1184000,14223114,55097.5,0.0465,21484.3,5274,0,false
56177,1208000,0,1208000,14511114,56165.0,0.0465,21503.5,5066,0,false
57237,1232000,0,1232000,14799114,57224.8,0.0464,21524.5,5362,0,false
58314,1256000,0,1256000,15087114,58301.9,0.0464,21538.6,5258,0,false
60149,1270000,0,1270000,15255114,60135.7,0.0474,21114.2,5571,0,false
66254,1272000,0,1272000,15279114,66241.0,0.0521,19198.8,5869,0,false
67310,1298000,0,1298000,15591114,67296.8,0.0518,19283.9,5529,0,false
68326,1324000,0,1324000,15903114,68313.1,0.0516,19377.7,5652,0,false
69357,1350000,0,1350000,16215114,69343.9,0.0514,19464.5,5551,0,false
70431,1378000,0,1378000,16551114,70418.8,0.0511,19565.2,5887,0,false
71500,1406000,0,1406000,16887114,71486.5,0.0508,19664.3,6223,0,false
72569,1434000,0,1434000,17223114,72555.2,0.0506,19760.5,6559,0,false
73573,1460000,0,1460000,17535114,73559.3,0.0504,19844.2,6872,0,false
74586,1486000,0,1486000,17847114,74571.8,0.0502,19923.3,7183,0,false
75708,1510000,0,1510000,18135114,75693.8,0.0501,19945.1,6041,0,false
76751,1538000,0,1538000,18471114,76737.2,0.0499,20038.8,6377,0,false
77766,1562000,0,1562000,18759114,77751.6,0.0498,20085.9,6255,0,false
