elapsed_ms,inserted,deleted,residentObs,tripleCount,insertMsCum,insertMsAvgPerObs,throughput_per_s,heapUsedMB,tdbDiskBytes,useTDB
6,0,0,0,0,0.0,0.0,0.0,157,0,false
1004,26000,0,26000,327114,1007.9,0.0388,25896.4,186,0,false
2062,52000,0,52000,639114,2070.3,0.0398,25218.2,517,0,false
3098,78000,0,78000,951114,3103.6,0.0398,25177.5,465,0,false
4149,100000,0,100000,1215114,4142.4,0.0414,24102.2,504,0,false
5155,112000,12000,100000,1215114,5156.5,0.046,21726.5,664,0,false
6222,124000,24000,100000,1215114,6228.4,0.0502,19929.3,783,0,false
7332,136000,36000,100000,1215114,7329.6,0.0539,18548.8,1196,0,false
8447,148000,48000,100000,1215114,8446.2,0.0571,17521.0,683,0,false
9525,160000,60000,100000,1215114,9527.6,0.0595,16797.9,1099,0,false
10645,172000,72000,100000,1215114,10642.2,0.0619,16157.8,1507,0,false
11750,184000,84000,100000,1215114,11743.0,0.0638,15659.6,977,0,false
12802,196000,96000,100000,1215114,12795.3,0.0653,15310.1,1385,0,false
13927,208000,108000,100000,1215114,13920.6,0.0669,14935.0,894,0,false
14998,220000,120000,100000,1215114,14989.9,0.0681,14668.6,1301,0,false
16160,232000,132000,100000,1215114,16157.7,0.0696,14356.4,1717,0,false
17336,244000,144000,100000,1215114,17327.5,0.071,14074.8,1260,0,false
18494,256000,156000,100000,1215114,18486.3,0.0722,13842.3,1667,0,false
19682,268000,168000,100000,1215114,19678.3,0.0734,13616.5,1229,0,false
20809,280000,180000,100000,1215114,20800.8,0.0743,13455.7,1644,0,false
21958,292000,192000,100000,1215114,21950.1,0.0752,13298.1,2052,0,false
23113,304000,204000,100000,1215114,23111.1,0.076,13152.8,1340,0,false
24185,316000,216000,100000,1215114,24176.2,0.0765,13065.9,1748,0,false
25302,328000,228000,100000,1215114,25296.1,0.0771,12963.4,2156,0,false
26389,340000,240000,100000,1215114,26380.5,0.0776,12884.2,1545,0,false
27444,352000,252000,100000,1215114,27434.8,0.0779,12826.1,1953,0,false
28600,364000,264000,100000,1215114,28590.7,0.0785,12727.3,1407,0,false
29663,376000,276000,100000,1215114,29654.0,0.0789,12675.7,1815,0,false
30825,388000,288000,100000,1215114,30815.7,0.0794,12587.2,2223,0,false
31959,400000,300000,100000,1215114,31960.8,0.0799,12516.0,1738,0,false
33098,412000,312000,100000,1215114,33089.6,0.0803,12447.9,2146,0,false
34270,424000,324000,100000,1215114,34272.1,0.0808,12372.3,1754,0,false
35438,436000,336000,100000,1215114,35430.9,0.0813,12303.2,2162,0,false
